calibdensity_B41	depth_calibdensity_B41
0.3481294	0.1218357
0.3494355	0.1219837
0.3509282	0.1221318
0.3515113	0.1222798
0.3493655	0.1224278
0.3513714	0.1225759
0.3511381	0.1227239
0.3498554	0.122872
0.3502985	0.12302
0.3546134	0.123168
0.3520478	0.1233161
0.3512081	0.1234641
0.3534938	0.1236121
0.3501352	0.1237602
0.3501352	0.1239082
0.3545201	0.1240563
0.3527008	0.1242043
0.3544734	0.1243523
0.3532839	0.1245004
0.3570623	0.1246484
0.3521877	0.1247965
0.355593	0.1249445
0.3560594	0.1250925
0.3541236	0.1252406
0.3515346	0.1253886
0.357179	0.1255366
0.3548233	0.1256847
0.3549166	0.1258327
0.3545901	0.1259807
0.3547533	0.1261288
0.3539836	0.1262768
0.3554297	0.1264249
0.3585784	0.1265729
0.3575988	0.126721
0.357902	0.126869
0.3578787	0.127017
0.3604909	0.1271651
0.3573422	0.1273131
0.357902	0.1274611
0.3570857	0.1276092
0.3579253	0.1277572
0.356246	0.1279052
0.3601178	0.1280533
0.3592781	0.1282013
0.3613772	0.1283494
0.3589516	0.1284974
0.3610041	0.1286454
0.3582519	0.1287935
0.357832	0.1289415
0.3573655	0.1290896
0.362077	0.1292376
0.3565959	0.1293856
0.3557562	0.1295337
0.3594414	0.1296817
0.3567125	0.1298297
0.3581353	0.1299778
0.3547766	0.1301258
0.3541935	0.1302739
0.3575055	0.1304219
0.3550798	0.1305699
0.3522577	0.130718
0.3582752	0.130866
0.3557562	0.1310141
0.3521644	0.1311621
0.3524909	0.1313101
0.3516279	0.1314582
0.3526075	0.1316062
0.3514647	0.1317542
0.3536105	0.1319023
0.3528874	0.1320503
0.3529107	0.1321984
0.3500886	0.1323464
0.3492956	0.1324944
0.3525842	0.1326425
0.3540769	0.1327905
0.3540769	0.1329386
0.3527708	0.1330866
0.3524909	0.1332346
0.3529107	0.1333827
0.3526309	0.1335307
0.3552664	0.1336787
0.357972	0.1338268
0.3557096	0.1339748
0.352211	0.1341229
0.3551964	0.1342709
0.3540769	0.1344189
0.3534006	0.134567
0.3552198	0.134715
0.3513014	0.1348631
0.3559662	0.1350111
0.3576455	0.1351591
0.3588583	0.1353072
0.3580419	0.1354552
0.3603044	0.1356033
0.3573422	0.1357513
0.356316	0.1358993
0.3600478	0.1360474
0.3626367	0.1361954
0.3624035	0.1363434
0.3632898	0.1364915
0.3631265	0.1366395
0.3620536	0.1367876
0.361867	0.1369356
0.3608175	0.1370836
0.3607242	0.1372317
0.3608408	0.1373797
0.3619137	0.1375278
0.3646192	0.1376758
0.3656455	0.1378238
0.3664152	0.1379719
0.3674181	0.1381199
0.3659953	0.1382679
0.3681411	0.138416
0.3727126	0.138564
0.3721761	0.1387121
0.3729458	0.1388601
0.3741353	0.1390081
0.3745784	0.1391562
0.3749749	0.1393042
0.3754881	0.1394523
0.3738321	0.1396003
0.375558	0.1397483
0.3762577	0.1398964
0.3746718	0.1400444
0.3734589	0.1401924
0.3726426	0.1403405
0.3758613	0.1404885
0.3740886	0.1406366
0.3732257	0.1407846
0.3746484	0.1409326
0.3786834	0.1410807
0.3743919	0.1412287
0.3722694	0.1413768
0.3726192	0.1415248
0.3758379	0.1416728
0.3696105	0.1418209
0.3712898	0.1419689
0.3719895	0.1421169
0.3679312	0.142265
0.3689341	0.142413
0.3624501	0.1425611
0.3611906	0.1427091
0.3623568	0.1428571
0.3615172	0.1430052
0.3590682	0.1431532
0.3580186	0.1433013
0.3590682	0.1434493
0.3525376	0.1435973
0.3527708	0.1437454
0.3537037	0.1438934
0.3561294	0.1440414
0.3601178	0.1441895
0.3572023	0.1443375
0.3577621	0.1444856
0.3582519	0.1446336
0.3572956	0.1447816
0.3524909	0.1449297
0.3568758	0.1450777
0.3584618	0.1452258
0.3544268	0.1453738
0.3614939	0.1455218
0.3547067	0.1456699
0.3573189	0.1458179
0.3531673	0.1459659
0.3524909	0.146114
0.3518145	0.146262
0.3529341	0.1464101
0.3507883	0.1465581
0.3530507	0.1467061
0.3540303	0.1468542
0.3534006	0.1470022
0.3535405	0.1471503
0.3527008	0.1472983
0.3511381	0.1474463
0.3528408	0.1475944
0.349902	0.1477424
0.3493189	0.1478904
0.3512781	0.1480385
0.3497621	0.1481865
0.3518145	0.1483346
0.3477096	0.1484826
0.3516046	0.1486306
0.3485025	0.1487787
0.3485259	0.1489267
0.3466833	0.1490748
0.349832	0.1492228
0.3502985	0.1493708
0.3483626	0.1495189
0.3488758	0.1496669
0.3509749	0.1498149
0.3534239	0.149963
0.3511381	0.150111
0.3516279	0.1502591
0.356246	0.1504071
0.3535405	0.1505551
0.3513947	0.1507032
0.3471498	0.1508512
0.3528408	0.1509993
0.3520944	0.1511473
0.3518378	0.1512953
0.3516979	0.1514434
0.35466	0.1515914
0.3559895	0.1517394
0.3551964	0.1518875
0.353074	0.1520355
0.355523	0.1521836
0.3565026	0.1523316
0.3533539	0.1524796
0.3556396	0.1526277
0.3577154	0.1527757
0.3536804	0.1529238
0.3542635	0.1530718
0.3516979	0.1532198
0.3526775	0.1533679
0.3558495	0.1535159
0.3533772	0.1536639
0.3525842	0.153812
0.3528174	0.15396
0.3548466	0.1541081
0.3528874	0.1542561
0.3549865	0.1544041
0.3545201	0.1545522
0.3550099	0.1547002
0.3571557	0.1548483
0.3605143	0.1549963
0.3590449	0.1551443
0.3577854	0.1552924
0.3607941	0.1554404
0.3601644	0.1555884
0.3636163	0.1557365
0.3638029	0.1558845
0.3600711	0.1560326
0.3606542	0.1561806
0.3603044	0.1563286
0.3641294	0.1564767
0.3653423	0.1566247
0.3660187	0.1567728
0.3652256	0.1569208
0.3663452	0.1570688
0.3650157	0.1572169
0.3667883	0.1573649
0.3680711	0.1575129
0.3685609	0.157661
0.3688875	0.157809
0.3681644	0.1579571
0.3699137	0.1581051
0.3704968	0.1582531
